temperature,hour,is_weekend,energy
9.4,0,0,26.6
5.7,0,0,17.7
4.3,0,0,19.3
7.8,0,0,25.6
7.3,0,0,36.0
4.5,0,0,46.7
8.8,0,0,40.0
1.3,0,0,42.9
4.1,0,0,43.0
12.1,0,0,31.0
9.1,0,0,40.4
7.9,0,0,29.7
2.2,0,0,55.7
-0.8,0,0,51.6
4.2,0,0,39.6
6.4,0,0,51.4
8.6,0,0,35.2
1.7,0,0,39.6
5.6,0,0,29.2
4.1,0,0,23.8
5.4,0,0,34.7
6.4,0,0,28.1
4.1,0,0,46.1
3.2,0,0,44.6
4.5,0,0,37.5
6.6,0,0,23.0
6.6,0,0,33.8
1.9,0,0,47.5
1.3,0,0,50.9
7.9,0,0,26.6
1.0,0,0,39.0
3.1,0,0,40.9
4.4,0,0,28.3
5.1,0,0,38.2
4.9,0,0,38.6
7.0,0,0,41.3
9.7,0,0,43.0
4.8,0,0,50.0
2.2,0,0,57.6
5.8,0,0,48.6
4.2,0,0,41.1
3.7,0,0,63.0
7.2,0,0,28.0
1.4,0,0,59.6
3.4,0,0,51.4
4.4,0,0,50.4
7.5,0,0,28.3
6.8,0,0,51.3
7.9,0,0,24.5
2.9,0,0,41.6
10.1,0,0,41.5
4.0,0,0,57.0
6.8,0,0,28.3
5.6,0,0,55.2
2.8,0,0,25.7
4.0,0,0,44.8
6.8,0,0,58.6
6.6,0,0,33.1
6.1,0,0,45.4
8.5,0,0,11.2
8.8,0,0,28.3
4.4,0,0,51.8
2.6,0,0,53.5
1.6,0,0,35.2
6.4,0,0,39.1
9.2,0,0,48.7
5.7,0,0,45.7
4.5,0,0,37.2
8.1,0,0,40.6
2.5,0,0,50.9
4.7,0,0,47.0
1.8,0,0,46.9
7.0,0,0,40.0
1.6,0,0,40.7
8.0,0,0,47.6
3.8,0,0,54.0
10.9,0,0,42.6
-1.7,0,0,37.2
5.8,0,0,23.9
6.2,0,0,38.5
3.6,0,0,64.3
11.2,0,0,27.1
9.7,0,0,42.9
6.9,0,0,19.8
3.6,0,0,74.2
3.7,0,0,34.3
2.2,0,0,29.4
6.5,0,0,53.7
-0.2,0,0,45.7
5.3,0,0,17.2
5.4,0,0,34.4
1.8,0,0,50.1
6.4,0,0,23.2
3.8,0,0,30.9
5.1,0,0,57.4
4.7,0,0,30.5
3.4,0,0,42.3
4.1,0,0,34.4
6.6,0,0,36.9
8.3,0,0,44.6
7.4,0,0,34.8
8.0,0,0,39.5
0.5,0,0,33.0
2.5,0,0,37.6
1.9,0,0,42.1
1.6,0,0,48.1
3.8,0,0,44.8
1.4,0,0,54.9
4.0,0,0,51.0
3.1,0,0,38.3
8.9,0,0,33.3
4.5,0,0,55.1
10.1,0,0,30.9
9.6,0,0,23.7
4.4,0,0,49.3
4.7,0,0,19.7
7.3,0,0,27.0
0.6,0,0,28.0
7.4,0,0,38.5
