temperature,hour,is_weekend,energy
9.40,0,0,26.60
5.70,0,0,17.70
4.30,0,0,19.30
7.80,0,0,25.60
7.30,0,0,36.00
4.50,0,0,46.70
8.80,0,0,40.00
1.30,0,0,42.90
4.10,0,0,43.00
12.10,0,0,31.00
9.10,0,0,40.40
7.90,0,0,29.70
2.20,0,0,55.70
-0.80,0,0,51.60
4.20,0,0,39.60
6.40,0,0,51.40
8.60,0,0,35.20
1.70,0,0,39.60
5.60,0,0,29.20
4.10,0,0,23.80
5.40,0,0,34.70
6.40,0,0,28.10
4.10,0,0,46.10
3.20,0,0,44.60
4.50,0,0,37.50
6.60,0,0,23.00
6.60,0,0,33.80
1.90,0,0,47.50
1.30,0,0,50.90
7.90,0,0,26.60
1.00,0,0,39.00
3.10,0,0,40.90
4.40,0,0,28.30
5.10,0,0,38.20
4.90,0,0,38.60
7.00,0,0,41.30
9.70,0,0,43.00
4.80,0,0,50.00
2.20,0,0,57.60
5.80,0,0,48.60
4.20,0,0,41.10
3.70,0,0,63.00
7.20,0,0,28.00
1.40,0,0,59.60
3.40,0,0,51.40
4.40,0,0,50.40
7.50,0,0,28.30
6.80,0,0,51.30
7.90,0,0,24.50
2.90,0,0,41.60
10.10,0,0,41.50
4.00,0,0,57.00
6.80,0,0,28.30
5.60,0,0,55.20
2.80,0,0,25.70
4.00,0,0,44.80
6.80,0,0,58.60
6.60,0,0,33.10
6.10,0,0,45.40
8.50,0,0,11.20
8.80,0,0,28.30
4.40,0,0,51.80
2.60,0,0,53.50
1.60,0,0,35.20
6.40,0,0,39.10
9.20,0,0,48.70
5.70,0,0,45.70
4.50,0,0,37.20
8.10,0,0,40.60
2.50,0,0,50.90
4.70,0,0,47.00
1.80,0,0,46.90
7.00,0,0,40.00
1.60,0,0,40.70
8.00,0,0,47.60
3.80,0,0,54.00
10.90,0,0,42.60
-1.70,0,0,37.20
5.80,0,0,23.90
6.20,0,0,38.50
3.60,0,0,64.30
11.20,0,0,27.10
9.70,0,0,42.90
6.90,0,0,19.80
3.60,0,0,74.20
3.70,0,0,34.30
2.20,0,0,29.40
6.50,0,0,53.70
-0.20,0,0,45.70
5.30,0,0,17.20
5.40,0,0,34.40
1.80,0,0,50.10
6.40,0,0,23.20
3.80,0,0,30.90
5.10,0,0,57.40
4.70,0,0,30.50
3.40,0,0,42.30
4.10,0,0,34.40
6.60,0,0,36.90
8.30,0,0,44.60
7.40,0,0,34.80
8.00,0,0,39.50
0.50,0,0,33.00
2.50,0,0,37.60
1.90,0,0,42.10
1.60,0,0,48.10
3.80,0,0,44.80
1.40,0,0,54.90
4.00,0,0,51.00
3.10,0,0,38.30
8.90,0,0,33.30
4.50,0,0,55.10
10.10,0,0,30.90
9.60,0,0,23.70
4.40,0,0,49.30
4.70,0,0,19.70
7.30,0,0,27.00
0.60,0,0,28.00
7.40,0,0,38.50
9.60,0,0,13.20
2.60,0,0,64.50
5.30,0,0,45.20
3.30,0,0,41.10
8.00,0,0,27.10
10.10,0,0,23.80
1.00,0,0,45.90
5.30,0,0,51.00
6.10,0,0,46.10
7.10,0,0,16.90
3.00,0,0,29.30
3.40,0,0,35.70
9.60,0,0,37.00
0.30,0,0,56.70
5.40,0,0,53.90
3.40,0,0,40.50
4.00,0,0,47.50
10.20,0,0,41.50
5.10,0,0,21.50
9.40,0,0,35.70
9.20,0,0,30.10
8.30,0,0,44.40
0.70,0,0,30.80
5.00,0,0,28.40
8.50,0,0,45.20
8.70,0,0,20.50
5.50,0,0,22.20
5.80,0,0,34.00
2.10,0,0,42.70
-2.60,0,0,30.50
2.70,0,0,53.30
10.20,0,0,35.70
1.40,0,0,36.90
5.90,0,0,43.40
7.30,0,0,36.90
3.10,0,0,52.10
3.70,0,0,37.70
3.90,0,0,29.30
4.90,0,0,41.80
6.60,0,0,40.90
6.70,0,0,40.20
2.00,0,0,42.90
9.10,0,0,40.20
4.80,0,0,40.00
-2.00,0,0,59.50
1.50,0,0,41.60
4.00,0,0,21.30
2.80,0,0,51.20
1.60,0,0,42.60
4.60,0,0,42.50
9.00,0,0,21.80
6.70,0,0,41.10
2.20,0,0,66.20
10.30,0,0,20.10
7.50,0,0,38.60
1.90,0,0,54.40
2.10,0,0,54.20
4.70,0,0,32.70
6.40,0,0,47.70
8.30,0,0,32.70
0.50,0,0,50.70
4.90,0,0,46.40
5.70,0,0,27.20
5.80,0,0,34.70
3.50,0,0,47.60
5.90,0,0,39.70
7.00,0,0,24.70
0.10,0,0,49.70
4.90,0,0,50.00
-1.40,0,0,70.80
0.60,0,0,61.50
0.70,0,0,47.80
1.90,0,0,53.70
6.30,0,0,52.80
3.50,0,0,44.60
7.60,0,0,37.00
5.40,0,0,30.90
5.60,0,0,48.80
8.10,0,0,31.80
1.50,0,0,36.40
5.50,0,0,31.60
5.20,0,0,37.40
4.60,0,0,43.90
8.80,0,0,19.70
6.40,0,0,51.60
3.20,0,0,57.80
2.70,0,0,31.20
4.60,0,0,38.30
8.20,0,0,47.20
6.80,0,0,34.20
5.90,0,0,39.60
2.80,0,0,38.00
3.80,0,0,31.90
-1.80,0,0,49.90
7.40,0,0,35.30
6.60,0,0,44.60
12.90,0,0,35.80
5.70,0,0,49.00
8.40,0,0,28.70
6.30,0,0,36.90
5.00,0,0,31.90
6.40,0,0,24.30
6.50,0,0,19.40
5.00,0,0,44.30
6.70,0,0,51.30
9.40,0,0,39.60
5.50,0,0,35.30
8.40,0,0,19.40
8.60,0,0,34.40
6.20,0,0,34.50
7.80,0,0,22.80
-0.70,0,0,77.20
3.70,0,0,56.80
4.80,0,0,34.70
5.40,0,0,31.80
7.40,0,0,35.00
3.00,0,0,44.00
0.90,0,0,50.20
5.00,0,0,35.40
1.50,0,0,45.60
3.30,0,0,35.80
1.10,0,0,55.40
9.40,0,0,38.90
5.50,0,0,39.10
3.50,0,0,22.70
2.50,0,0,35.30
3.50,0,0,31.90
9.50,0,0,17.20
0.50,0,0,35.60
4.20,0,0,61.70
5.60,0,0,32.30
1.90,0,0,36.40
2.20,0,0,46.10
1.90,0,0,42.50
5.30,0,0,18.30
6.70,0,0,35.90
7.90,0,0,31.40
3.90,0,0,48.50
6.50,0,0,33.90
8.10,0,0,39.70
6.10,0,0,50.60
5.20,0,0,31.90
3.10,0,0,38.70
2.60,0,0,46.10
9.20,0,0,34.10
4.20,0,0,56.90
4.70,0,0,34.70
12.60,0,0,29.60
4.20,0,0,32.50
3.90,0,0,60.80
5.60,0,0,48.10
0.40,0,0,40.60
3.40,0,0,47.20
3.00,0,0,38.50
2.70,0,0,48.50
9.00,0,0,34.60
2.60,0,0,62.10
2.90,0,0,54.20
4.70,0,0,31.70
2.70,0,0,51.20
4.10,0,0,24.30
3.80,0,0,63.80
4.10,0,0,42.00
0.90,0,0,39.90
7.10,0,0,19.60
6.00,0,0,30.10
4.00,0,0,35.10
5.60,0,0,45.70
3.60,0,0,33.70
4.70,0,0,42.50
-0.70,0,0,49.40
6.40,0,0,40.90
1.80,0,0,46.00
4.50,0,0,30.20
5.90,0,0,38.50
10.40,0,0,17.20
7.60,0,0,35.00
-1.20,0,0,48.20
3.00,0,0,37.20
4.20,0,0,51.20
3.90,0,0,49.00
-0.10,0,0,57.50
7.50,0,0,43.10
6.10,0,0,14.10
3.00,0,0,36.30
3.30,0,0,44.80
5.10,0,0,46.70
7.50,0,0,21.90
6.20,0,0,46.60
3.10,0,0,38.80
4.20,0,0,39.30
6.60,0,0,39.20
5.90,0,0,40.30
1.60,0,0,53.60
2.30,0,0,38.10
8.00,0,0,51.90
7.80,0,0,51.30
6.60,0,0,36.90
7.10,0,0,30.20
0.70,0,0,41.70
-0.60,0,0,60.80
3.10,0,0,52.40
7.50,0,0,41.80
4.30,0,0,33.60
4.10,0,0,29.60
13.40,0,0,10.90
5.60,0,0,31.80
4.40,0,0,26.90
3.70,0,0,29.60
6.80,0,0,27.10
6.20,0,0,26.50
5.20,0,0,37.10
1.70,0,0,43.20
6.40,0,0,40.60
2.80,0,0,51.60
2.30,0,0,37.90
4.60,0,0,32.40
6.30,0,0,38.10
6.30,0,0,41.80
13.20,0,0,35.00
6.30,0,0,36.50
3.80,0,0,37.60
3.00,0,0,52.80
4.20,0,0,61.30
3.90,0,0,35.30
9.80,0,0,24.10
2.20,0,0,52.00
3.80,0,0,42.00
10.10,0,0,25.30
7.70,0,0,28.40
3.20,0,0,33.20
10.50,0,0,20.40
-0.70,0,0,44.40
4.30,0,0,34.60
4.60,0,0,31.70
6.50,0,0,25.80
2.60,0,0,49.30
3.10,0,0,37.40
3.90,0,0,38.20
4.00,0,0,32.20
11.60,0,0,20.70
9.60,0,0,23.80
1.50,0,0,55.30
4.60,0,0,55.20
-0.90,0,0,69.90
3.30,0,0,36.90
4.20,0,0,39.60
2.60,0,0,49.20
1.60,0,0,47.40
4.00,0,0,51.00
1.40,0,0,35.50
5.90,0,0,39.60
5.40,0,0,28.20
-0.60,0,0,49.60
6.10,0,0,39.20
1.70,0,0,26.30
5.10,0,0,30.20
1.50,0,0,65.50
8.60,0,0,21.20
5.50,0,0,56.90
6.40,0,0,42.40
0.30,0,0,55.20
4.60,0,0,65.70
7.20,0,0,43.30
13.00,0,0,39.50
7.80,0,0,27.00
9.00,0,0,42.10
6.90,0,0,34.20
1.60,0,0,46.50
4.50,0,0,40.80
9.80,0,0,21.10
4.90,0,0,39.40
8.40,0,0,31.20
3.50,0,0,54.20
3.80,0,0,46.80
0.40,0,0,53.30
10.10,0,0,36.70
1.70,0,0,64.50
4.50,0,0,41.60
3.70,0,0,40.60
4.20,0,0,40.00
1.20,0,0,46.00
1.80,0,0,46.00
3.00,0,0,45.00
7.70,0,0,27.50
6.10,0,0,23.20
2.10,0,0,47.80
12.50,0,0,29.60
3.20,0,0,42.10
0.70,0,0,51.40
2.10,0,0,50.70
6.00,0,0,42.90
2.50,0,0,48.10
7.80,0,0,39.00
-0.80,0,0,61.90
7.00,0,0,32.60
2.40,0,0,43.20
8.30,0,0,23.40
1.60,0,0,42.10
6.00,0,0,33.60
8.00,0,0,34.30
2.40,0,0,43.10
3.50,0,0,43.60
2.60,0,0,52.10
7.00,0,0,45.70
7.40,0,0,15.10
-2.40,0,0,43.30
5.40,0,0,39.50
4.50,0,0,51.10
4.90,0,0,38.60
8.30,0,0,15.10
5.90,0,0,48.80
2.00,0,0,58.80
4.80,0,0,38.90
10.40,0,0,20.80
6.20,0,0,37.10
1.30,0,0,55.50
2.40,0,0,46.80
5.80,0,0,28.30
2.50,0,0,49.10
1.80,0,0,52.50
5.70,0,0,43.60
8.20,0,0,32.00
2.60,0,0,43.40
1.80,0,0,39.40
3.50,0,0,43.50
5.00,0,0,16.00
7.20,0,0,38.20
7.40,0,0,30.10
3.20,0,0,37.30
5.60,0,0,48.60
-0.30,0,0,42.70
4.00,0,0,48.30
2.20,0,0,36.80
0.70,0,0,50.80
8.40,0,0,23.10
1.20,0,0,68.20
8.10,0,0,46.20
11.10,0,0,37.00
1.80,0,0,29.40
4.90,0,0,47.30
5.70,0,0,34.30
8.60,0,0,20.60
6.90,0,0,50.20
5.20,0,0,51.30
4.90,0,0,39.50
2.40,0,0,53.70
7.80,0,0,59.70
6.90,0,0,52.90
8.00,0,0,36.20
4.40,0,0,44.40
6.10,0,0,20.40
7.20,0,0,28.30
1.40,0,0,48.60
8.90,0,0,30.20
7.00,0,0,24.30
1.00,0,0,56.90
1.20,0,0,63.50
5.90,0,0,38.90
11.80,0,0,18.60
4.70,0,0,24.80
7.60,0,0,46.60
4.30,0,0,46.90
5.20,0,0,40.10
7.90,0,0,37.30
8.60,0,0,21.10
2.80,0,0,35.50
4.50,0,0,47.50
2.40,0,0,60.90
6.10,0,0,37.90
5.60,0,0,57.70
2.10,0,0,49.30
5.00,0,0,32.70
8.10,0,0,24.00
5.70,0,0,39.80
2.10,0,0,48.40
6.00,0,0,34.60
3.50,0,0,27.00
5.50,0,0,43.10
0.10,0,0,49.20
7.00,0,0,36.80
7.80,0,0,25.40
1.00,0,0,48.80
5.90,0,0,43.10
2.50,0,0,46.50
7.40,0,0,37.30
6.30,0,0,43.50
8.50,0,0,40.50
8.90,0,0,28.50
4.00,0,0,31.30
5.30,0,0,32.30
10.40,0,0,34.60
-1.20,0,0,49.60
1.30,0,0,47.50
8.00,0,0,23.00
2.10,0,0,64.50
9.90,0,0,35.00
2.40,0,0,49.50
6.80,0,0,35.70
5.80,0,0,45.50
4.70,0,0,45.80
6.10,0,0,33.70
5.70,0,0,34.30
6.70,0,0,25.20
9.50,0,0,34.00
7.10,0,0,33.50
8.40,0,0,16.50
4.10,0,0,60.90
0.70,0,0,57.50
2.20,0,0,47.20
10.00,0,0,35.20
10.80,0,0,28.70
1.70,0,0,44.40
2.70,0,0,48.50
4.10,0,0,43.30
5.00,0,0,39.20
8.90,0,0,32.80
7.90,0,0,35.20
1.60,0,0,33.20
1.40,0,0,37.60
0.80,0,0,43.10
2.40,0,0,48.30
0.90,0,0,61.50
7.30,0,0,17.60
1.10,0,0,70.70
5.70,0,0,30.50
1.00,0,0,40.10
13.80,0,0,34.10
6.50,0,0,59.70
7.70,0,0,35.30
4.00,0,0,43.70
7.20,0,0,41.70
3.80,0,0,47.80
10.20,0,0,22.30
1.80,0,0,47.00
4.90,0,0,60.40
4.30,0,0,32.90
1.00,0,0,57.80
8.00,0,0,31.50
2.20,0,0,47.10
0.10,0,0,41.70
7.00,0,0,51.70
0.50,0,0,23.60
6.90,0,0,40.40
8.20,0,0,28.70
1.70,0,0,56.60
7.10,0,0,25.40
1.80,0,0,48.30
3.80,0,0,52.70
5.00,0,0,31.90
1.30,0,0,35.80
1.40,0,0,27.90
8.50,0,0,40.50
-1.40,0,0,51.90
4.00,0,0,47.20
5.70,0,0,36.50
6.50,0,0,32.40
9.20,0,0,55.90
7.30,0,0,22.50
5.80,0,0,49.80
4.60,0,0,50.90
3.90,0,0,48.80
6.10,1,0,34.60
6.30,1,0,34.20
8.30,1,0,30.70
5.70,1,0,53.10
9.50,1,0,12.70
7.70,1,0,39.50
3.80,1,0,42.10
7.10,1,0,52.40
6.90,1,0,42.50
6.20,1,0,50.00
8.20,1,0,34.90
2.20,1,0,28.40
5.90,1,0,33.80
6.70,1,0,52.60
5.60,1,0,52.30
7.90,1,0,33.20
5.90,1,0,60.70
5.90,1,0,46.10
6.80,1,0,27.00
4.40,1,0,31.20
3.40,1,0,55.40
12.80,1,0,15.00
5.60,1,0,39.40
6.70,1,0,47.30
10.50,1,0,38.80
8.00,1,0,23.70
4.90,1,0,35.40
1.60,1,0,58.30
2.50,1,0,52.30
4.10,1,0,46.10
5.60,1,0,58.90
8.80,1,0,18.50
4.30,1,0,33.10
4.30,1,0,31.90
10.40,1,0,19.30
12.30,1,0,26.90
8.50,1,0,37.50
6.60,1,0,34.30
6.50,1,0,39.90
4.10,1,0,45.00
10.00,1,0,32.20
7.20,1,0,37.80
4.10,1,0,38.00
5.30,1,0,36.80
9.90,1,0,22.50
4.60,1,0,29.30
5.10,1,0,34.20
14.90,1,0,18.70
4.60,1,0,45.30
8.00,1,0,39.00
6.00,1,0,41.40
14.70,1,0,12.10
10.70,1,0,34.20
7.90,1,0,19.30
4.40,1,0,47.20
4.40,1,0,43.30
12.10,1,0,18.10
2.80,1,0,37.00
8.60,1,0,43.30
8.60,1,0,30.70
13.60,1,0,20.40
2.50,1,0,50.50
8.60,1,0,36.30
8.70,1,0,33.30
8.50,1,0,37.20
7.90,1,0,27.50
11.50,1,0,40.10
7.20,1,0,38.80
5.00,1,0,54.60
2.50,1,0,44.20
6.60,1,0,38.10
5.60,1,0,46.20
9.90,1,0,44.60
3.00,1,0,48.70
13.70,1,0,31.60
7.10,1,0,45.40
10.20,1,0,25.40
10.00,1,0,26.00
4.20,1,0,32.20
6.90,1,0,25.50
10.90,1,0,34.80
9.40,1,0,27.80
8.00,1,0,34.80
8.60,1,0,30.30
5.20,1,0,37.00
2.00,1,0,41.00
11.30,1,0,37.00
5.20,1,0,38.60
3.70,1,0,54.60
12.20,1,0,18.10
7.80,1,0,20.80
1.00,1,0,34.00
3.50,1,0,51.00
7.50,1,0,35.10
5.30,1,0,35.00
8.30,1,0,47.40
6.20,1,0,45.80
5.80,1,0,43.80
8.30,1,0,21.00
3.10,1,0,32.90
2.90,1,0,51.20
9.30,1,0,39.30
7.40,1,0,15.40
10.90,1,0,26.40
3.60,1,0,36.20
7.30,1,0,21.80
4.10,1,0,61.00
7.00,1,0,39.30
11.10,1,0,49.40
9.20,1,0,26.00
5.20,1,0,32.80
7.30,1,0,21.60
6.40,1,0,42.50
4.50,1,0,52.60
5.20,1,0,52.00
4.70,1,0,55.80
10.00,1,0,28.10
6.40,1,0,31.90
6.30,1,0,39.20
5.70,1,0,35.60
12.90,1,0,34.80
2.80,1,0,43.30
5.30,1,0,47.00
6.90,1,0,58.70
6.60,1,0,44.50
9.30,1,0,37.60
14.70,1,0,15.30
1.70,1,0,46.50
3.60,1,0,41.30
7.10,1,0,38.60
8.30,1,0,21.80
3.60,1,0,34.20
7.90,1,0,30.00
4.90,1,0,45.80
8.50,1,0,15.60
7.10,1,0,34.40
8.10,1,0,36.00
8.70,1,0,21.60
9.00,1,0,32.80
2.60,1,0,34.80
7.70,1,0,22.50
10.10,1,0,34.10
8.30,1,0,20.20
4.80,1,0,49.80
7.00,1,0,20.60
6.70,1,0,29.30
6.80,1,0,36.30
6.30,1,0,21.90
6.50,1,0,21.00
8.80,1,0,36.80
2.20,1,0,50.60
5.60,1,0,29.70
4.70,1,0,32.80
9.40,1,0,39.90
6.10,1,0,49.60
5.70,1,0,43.60
6.10,1,0,32.00
5.50,1,0,43.80
10.90,1,0,39.00
6.70,1,0,37.30
9.60,1,0,42.00
6.10,1,0,36.50
11.30,1,0,22.20
10.50,1,0,21.30
6.90,1,0,34.60
9.00,1,0,35.70
7.70,1,0,36.30
7.00,1,0,29.70
6.20,1,0,33.20
7.20,1,0,33.80
7.10,1,0,32.20
4.90,1,0,44.70
8.20,1,0,43.90
3.50,1,0,41.40
7.60,1,0,31.60
4.60,1,0,21.50
11.20,1,0,33.60
9.30,1,0,10.00
8.00,1,0,38.50
8.90,1,0,16.60
8.90,1,0,28.20
9.10,1,0,25.20
2.30,1,0,57.00
5.40,1,0,31.90
5.20,1,0,32.00
4.90,1,0,39.90
11.90,1,0,13.80
7.00,1,0,43.70
10.10,1,0,34.60
6.70,1,0,48.00
5.00,1,0,27.80
7.20,1,0,39.20
5.90,1,0,35.20
10.90,1,0,14.30
2.20,1,0,33.60
9.60,1,0,25.60
7.30,1,0,49.30
6.60,1,0,49.50
6.70,1,0,40.20
8.30,1,0,15.40
6.70,1,0,36.60
10.00,1,0,36.80
1.70,1,0,49.70
5.50,1,0,51.40
4.50,1,0,24.50
2.70,1,0,51.80
7.80,1,0,15.20
11.30,1,0,35.90
8.30,1,0,47.30
6.00,1,0,16.90
9.50,1,0,31.80
8.60,1,0,36.70
4.30,1,0,22.80
5.20,1,0,42.80
12.60,1,0,19.00
11.00,1,0,31.20
8.30,1,0,36.50
9.70,1,0,38.80
10.60,1,0,44.20
10.80,1,0,39.30
9.80,1,0,21.60
4.80,1,0,37.20
7.70,1,0,49.50
9.90,1,0,21.90
7.70,1,0,30.90
6.80,1,0,26.90
5.70,1,0,31.20
2.70,1,0,35.20
5.20,1,0,53.40
3.40,1,0,44.30
7.90,1,0,18.10
5.40,1,0,41.90
7.00,1,0,55.20
7.80,1,0,28.40
8.00,1,0,24.80
5.60,1,0,36.30
6.00,1,0,47.80
7.30,1,0,39.30
7.30,1,0,30.70
9.50,1,0,21.40
7.40,1,0,47.40
3.90,1,0,38.80
5.60,1,0,49.50
4.90,1,0,44.90
5.90,1,0,23.80
8.70,1,0,38.80
9.10,1,0,31.20
7.70,1,0,37.00
3.00,1,0,43.50
5.10,1,0,47.20
5.90,1,0,46.40
8.80,1,0,32.10
2.70,1,0,47.20
3.80,1,0,41.50
8.60,1,0,43.00
8.30,1,0,46.60
11.40,1,0,34.10
12.80,1,0,37.90
4.30,1,0,35.70
3.40,1,0,42.00
4.50,1,0,39.80
14.30,1,0,23.20
5.30,1,0,28.40
10.90,1,0,27.50
10.90,1,0,38.90
1.20,1,0,55.90
7.90,1,0,39.30
7.50,1,0,32.90
10.00,1,0,22.40
11.00,1,0,43.80
9.90,1,0,33.80
7.80,1,0,32.40
9.30,1,0,27.00
-0.40,1,0,26.70
3.00,1,0,30.90
5.10,1,0,43.40
7.90,1,0,41.00
3.30,1,0,54.70
8.10,1,0,24.10
10.30,1,0,17.60
0.80,1,0,47.90
13.20,1,0,30.90
4.00,1,0,46.40
9.00,1,0,22.10
4.20,1,0,42.00
7.60,1,0,27.40
1.20,1,0,57.10
10.40,1,0,27.70
3.00,1,0,40.80
8.30,1,0,32.70
10.00,1,0,25.20
5.40,1,0,38.10
4.90,1,0,49.50
1.80,1,0,45.70
7.60,1,0,16.70
7.50,1,0,35.30
4.30,1,0,44.10
7.00,1,0,29.80
2.90,1,0,45.60
3.20,1,0,42.20
9.30,1,0,33.90
6.60,1,0,37.40
3.40,1,0,36.20
10.40,1,0,41.50
6.50,1,0,47.80
8.10,1,0,64.90
8.50,1,0,13.10
7.10,1,0,38.50
6.60,1,0,42.20
10.50,1,0,23.70
2.90,1,0,47.90
0.90,1,0,45.80
4.90,1,0,45.40
5.30,1,0,37.10
2.00,1,0,66.90
8.40,1,0,32.40
6.40,1,0,36.30
9.00,1,0,49.50
6.80,1,0,39.00
2.90,1,0,45.50
4.90,1,0,29.90
7.30,1,0,21.10
11.20,1,0,20.50
7.20,1,0,28.40
7.30,1,0,41.00
10.40,1,0,37.30
8.30,1,0,40.70
6.80,1,0,34.90
4.90,1,0,38.40
12.90,1,0,10.00
3.70,1,0,37.00
5.20,1,0,53.00
0.90,1,0,47.90
12.70,1,0,44.10
6.60,1,0,31.60
10.30,1,0,32.00
7.50,1,0,29.60
8.90,1,0,17.80
5.80,1,0,22.20
-1.70,1,0,54.60
10.10,1,0,21.70
6.80,1,0,25.50
7.80,1,0,29.10
7.80,1,0,28.70
